name;full_name;birth_date;age;height_cm;weight_kgs;positions;nationality;overall_rating;potential;value_euro;wage_euro;preferred_foot
S. Galloway;Scott Galloway;4/25/1995;23;175.26;72.1;RB,LB;Australia;61;65;270000;1000;Right
Y. Lawal;Yusuf Lawal;3/23/1998;20;172.72;77.1;RM;Nigeria;61;71;400000;2000;Right
M. Igonen;Matvei Igonen;10/2/1996;22;185.42;78;GK;Estonia;61;71;325000;1000;Right
A. Heredia;Agustín Heredia;6/16/1997;21;187.96;83;CB;Argentina;61;76;500000;3000;Right
E. Mensah;Evans Mensah;2/9/1998;21;165.1;62.1;RW,LW;Ghana;61;72;425000;1000;Left
Pablo Ramón;Pablo Ramón Parra;6/30/2001;17;185.42;76.2;CB;Spain;61;79;450000;1000;Right
M. Kaasa;Markus Kaasa;7/15/1997;21;175.26;59.9;CM;Norway;61;74;475000;1000;Right
R. Dickie;Rob Dickie;3/3/1996;23;182.88;73.9;CB;England;61;69;325000;2000;Right
L. Grimshaw;Liam Grimshaw;2/2/1995;24;154.94;83;CM,RWB;England;61;66;325000;1000;Right
M. Egho;Marvin Egho;5/9/1994;24;187.96;74.8;ST;Austria;61;65;325000;2000;Left
Robert Sanchez;Robert Lynch Sanchez;11/18/1997;21;198.12;84.8;GK;Spain;61;73;350000;4000;Right
B. Purkiss;Benjamin  Purkiss;4/1/1984;34;185.42;69.9;RB,CB;England;61;61;70000;2000;Right
A. Lajami;Ali Lajami;4/24/1996;22;152.4;74.8;CB,CDM,RB;Saudi Arabia;61;72;375000;4000;Right
T. Mølgaard;Tobias Mølgaard;7/22/1996;22;182.88;73;RWB,RM;Denmark;61;69;325000;1000;Right
A. Diallo;Amadou Diallo;6/21/1994;24;152.4;77.1;ST,LM;Guinea;61;67;350000;1000;Left
E. Verstappen;Eric Verstappen;5/19/1994;24;195.58;88;GK;Netherlands;61;68;260000;1000;Right
R. Alvarez;Ricardo Abraham Álvarez Casanova;2/10/1999;20;175.26;68.9;LM,LB;Chile;61;79;550000;1000;Left
L. Greššák;Lukáš Greššák;1/23/1989;30;182.88;74.8;CDM;Slovakia;61;61;200000;1000;Right
E. Omondi;Eric Johana Omondi;8/18/1994;24;185.42;74.8;RW;Kenya;61;66;325000;1000;Right
H. Ayaroğlu;Hasan Ayaroğlu;3/22/1995;23;172.72;63;CAM,LM,RM;Turkey;61;70;400000;2000;Left
J. Koffi;Jean-Christophe Koffi;1/5/1998;21;175.26;78.9;CAM,CM;Ivory Coast;61;72;425000;1000;Right
J. Hornkamp;Jizz Hornkamp;3/7/1998;21;154.94;74.8;RB,ST;Netherlands;61;69;325000;1000;Right
I. Rozas;Iván Marcelo Rozas Agüero;7/1/1998;20;152.4;78;RW,RM;Chile;61;78;550000;2000;Left
B. Nugent;Ben Nugent;11/28/1993;25;195.58;83;CB;England;61;64;270000;2000;Left
J. Dörfler;Johannes Dörfler;8/23/1996;22;185.42;79.8;RM;Germany;61;68;350000;1000;Right
K. Woolery;Kaiyne Woolery;1/11/1995;24;154.94;78;ST,RM,RW;England;61;63;325000;3000;Right
F. Valietti;Federico Valietti;1/25/1999;20;182.88;73;RB;Italy;61;74;425000;1000;Right
K. Gutiérrez;Kevin Gutiérrez;6/3/1997;21;167.64;64.9;CM;Argentina;61;75;550000;2000;Right
A. Babacan;Atalay Babacan;6/28/2000;18;175.26;69.9;CAM,CM;Turkey;61;76;525000;4000;Left
A. Swolfs;Anthony Swolfs;11/25/1997;21;193.04;78;GK;Belgium;61;70;300000;2000;Right
M. Moënza;Malkom Moënza;11/15/1993;25;154.94;74.8;LWB,LM,LB;Sweden;61;66;280000;1000;Left
M. Ferreira;Matias Ferreira;1/1/1997;22;172.72;67.1;RB;France;61;71;350000;1000;Right
Chen Hao;陈灏;1/28/1993;26;185.42;78;CB,ST;China PR;61;64;270000;2000;Right
V. Myhra;Viljar Myhra;7/21/1996;22;193.04;93.9;GK;Norway;61;72;350000;1000;Right
S. Nimely;Sylvanus Nimely;9/4/1998;20;152.4;74.8;ST;Liberia;61;75;550000;1000;Right
S. Doumbia;Souleyman Doumbia;9/24/1996;22;175.26;64;LB,LM;Ivory Coast;61;71;350000;3000;Left
L. Mokhevishvili;Lado Mokhevishvili;6/27/1996;22;172.72;59.9;CDM;Georgia;61;74;425000;1000;Right
C. Masterson;Conor Masterson;9/8/1998;20;187.96;72.1;CB;Republic of Ireland;61;73;375000;5000;Right
G. Ray;George Ray;10/13/1993;25;193.04;71.2;CB;Wales;61;68;300000;3000;Right
L. Hroššo;Lukáš Hroššo;4/19/1987;31;195.58;89.8;GK;Slovakia;61;61;150000;1000;Right
J. Caletti;Joe Kato Caletti;9/14/1998;20;170.18;64.9;CDM,CM;Australia;61;73;375000;1000;Right
M. Havekotte;Mike Havekotte;9/12/1995;23;187.96;79.8;GK;Netherlands;61;70;290000;1000;Right
F. Sulmoni;Fulvio Sulmoni;1/4/1986;33;182.88;72.1;CB;Switzerland;61;61;140000;2000;Right
Roger Riera;Roger Riera Canadell;2/17/1995;24;187.96;76.2;CB,RB;Spain;61;66;290000;4000;Right
V. Wernersson;Victor Wernersson;7/6/1995;23;154.94;69.9;LWB,LM;Sweden;61;69;325000;1000;Left
M. Kudus;Mohammed Kudus;8/2/2000;18;175.26;69.9;CF,CM,ST;Ghana;61;79;500000;2000;Left
E. Herrera;Edwin Alberto Herrera Hernandez;9/2/1998;20;172.72;68;LB;Colombia;61;77;475000;1000;Right
A. Pululu;Afimico Pululu;3/23/1999;19;175.26;83;ST;Angola;61;77;550000;3000;Right
Park Dae Han;박대한 朴大韩;4/19/1996;22;182.88;77.1;GK;Korea Republic;61;70;290000;1000;Right
Zhong JinBao;钟晋宝;11/25/1994;24;154.94;68.9;CM,LM;China PR;61;67;350000;2000;Right
Leandro;Leandro Montagud Balaguer;2/28/1989;30;185.42;82.1;GK;Spain;61;62;200000;1000;Left
R. Callachan;Ross Callachan;9/4/1993;25;154.94;76.2;CM,RM;Scotland;61;66;325000;1000;Right
J. Shipley;Jordan Shipley;9/26/1997;21;182.88;73;LM;Republic of Ireland;61;71;400000;2000;Left
A. Kenyon;Alex Kenyon;7/17/1992;26;182.88;76.2;CDM,CM,CB;England;61;63;260000;2000;Left
P. Petrović;Petar Petrović;9/15/1995;23;152.4;69.9;LW,RW;Sweden;61;66;325000;1000;Right
A. Pattison;Alex Pattison;9/6/1997;21;175.26;69.9;CM;England;61;70;375000;6000;Right
Liu Yang;刘洋;2/9/1991;28;187.96;78;CB;China PR;61;63;250000;2000;Right
L. Agoume;Lucien Agoume;2/9/2002;17;185.42;74.8;CAM,CM;France;61;85;550000;1000;Right
K. Yoshino;吉野 恭平;11/8/1994;24;182.88;74.8;CB,CDM;Japan;61;67;290000;2000;Right
M. Rocca;Michele Rocca;2/6/1996;23;175.26;72.1;CM;Italy;61;69;375000;5000;Right
I. Chair;Ilias Chair;10/30/1997;21;172.72;68;CAM,LW;Morocco;61;75;550000;1000;Right
A. Al Khulaif;Ayman Al Khulaif;5/22/1997;21;165.1;59.9;RM,LM;Saudi Arabia;61;73;450000;5000;Right
R. Wulle;Rick Wulle;6/4/1994;24;187.96;83.9;GK;Germany;61;68;260000;1000;Right
Li Songyi;李松益;1/27/1993;26;187.96;81.2;RB;China PR;61;64;260000;3000;Right
J. Romil;Jorris Romil;12/27/1994;24;185.42;74.8;ST;France;61;68;350000;1000;Right
T. Smith;Ted Smith;1/18/1996;23;185.42;76.2;GK;England;61;67;250000;1000;Left
E. Oyeleke;Emmanuel Oyeleke;12/24/1992;26;175.26;74.8;CM,CDM;England;61;64;300000;3000;Right
J. Cook;Jordan Cook;3/20/1990;28;175.26;79.8;CAM,CM,ST;England;61;61;250000;3000;Right
D. Gyollai;Dániel Gyollai;4/7/1997;21;193.04;91.2;GK;Hungary;61;74;400000;3000;Right
J. Partington;Joe Partington;4/1/1990;28;187.96;76.2;RB,CDM;Wales;61;61;200000;2000;Right
S. Al Qeshtah;Saif Al Qeshtah;1/28/1993;26;182.88;74.8;CB;Saudi Arabia;61;63;260000;2000;Left
A. Domínguez;Adolfo Domínguez;2/10/1991;28;182.88;73;CM;Mexico;61;61;260000;4000;Left
A. Tozzo;Andrea Tozzo;8/30/1992;26;193.04;83.9;GK;Italy;61;64;220000;4000;Left
Víctor Ruiz;Víctor Ruiz Abril;11/2/1993;25;172.72;68;RW;Spain;61;64;325000;3000;Right
L. Kramer;Lars Kramer;7/11/1999;19;193.04;79.8;CB;Netherlands;61;75;475000;1000;Right
G. Guerrieri;Guido Guerrieri;2/25/1996;23;182.88;78;GK;Italy;61;68;260000;4000;Right
N. Salazar;Norbey Salazar Giraldo;11/10/1987;31;198.12;83.9;CDM;Colombia;61;61;190000;1000;Right
L. Wilkinson;Luke Wilkinson;12/2/1991;27;187.96;73.9;CB;England;61;62;240000;2000;Right
R. Harley;Ryan Harley;1/22/1985;34;175.26;69.9;LM,CM;England;61;61;150000;3000;Right
N. Heidemann;Niklas Heidemann;1/6/1995;24;185.42;78;LB,LM,CB;Germany;61;66;280000;1000;Left
A. Yamga;Arthur Kevin Yamga;9/7/1996;22;187.96;83;ST,RM;France;61;70;400000;2000;Right
A. Ceesay;Assan Ceesay;3/17/1994;24;187.96;73.9;ST,RW;Gambia;61;68;350000;3000;Left
Dome;Domènec Estorach Ruedas;1/1/1996;23;175.26;68.9;CM,CDM;Spain;61;66;325000;1000;Right
N. Tiknizyan;Nair Tiknizyan;5/12/1999;19;154.94;74.8;LM,LB;Russia;61;74;475000;1000;Left
D. Fitzpatrick;David Fitzpatrick;2/28/1990;29;152.4;73;LB;England;61;61;200000;2000;Left
A. Hazazi;Ali Abdullah Hazazi;2/18/1994;25;182.88;63;CDM,CM,CAM;Saudi Arabia;61;66;290000;4000;Left
Y. Al Musallam;Yahya Al Musallam;6/7/1987;31;182.88;83.9;CB;Saudi Arabia;61;61;170000;3000;Left
Iván Martín;Iván Martín Núñez;2/14/1999;20;152.4;69.9;CAM,CM;Spain;61;74;475000;2000;Left
Y. Tolosa;Yeison Tolosa;6/12/1999;19;170.18;68;CAM;Colombia;61;74;475000;1000;Right
D. Lanius;Dominik Lanius;3/28/1997;21;195.58;84.8;CB;Germany;61;69;325000;1000;Right
T. Eyoma;Timothy Eyoma;1/29/2000;19;182.88;76.2;CB,RB;England;61;79;475000;5000;Right
M. Feigenspan;Mike Feigenspan;8/5/1995;23;154.94;74.8;LW;Germany;61;69;375000;1000;Right
G. Coke;Giles Coke;6/3/1986;32;154.94;78.9;CM;England;61;61;190000;3000;Right
Y. Otayn;Yahya Otayn;9/3/1990;28;182.88;73;CDM;Saudi Arabia;61;62;240000;3000;Right
M. Hazazi;Majed Hazazi;3/19/1988;30;167.64;57.2;RB;Saudi Arabia;61;61;180000;3000;Right
B. Bvuma;Bruce Bvuma;5/15/1995;23;185.42;73;GK;South Africa;61;70;290000;1000;Right
S. Facey;Shay Facey;1/7/1995;24;152.4;64;RB,RWB;England;61;68;300000;2000;Right
H. Johansen;Henrik Kjelsrud Johansen;3/22/1993;25;182.88;83.9;ST;Norway;61;64;325000;1000;Right
B. Chibani;Bilal Chibani;10/15/1998;20;182.88;71.2;CM;Belgium;61;72;425000;1000;Left
João Virgínia;João Manuel Neves Virgínia;10/10/1999;19;190.5;79.8;GK;Portugal;61;79;425000;3000;Left
T. Čvančara;Tomáš Čvančara;8/13/2000;18;190.5;79.8;ST;Czech Republic;61;83;550000;1000;Right
Iván;Iván Navarro Mateos;4/26/1997;21;182.88;77.1;LM;Spain;61;70;400000;3000;Left
M. O'Leary;Max O'Leary;10/10/1996;22;185.42;78;GK;England;61;72;350000;3000;Right
J. Hildebrandt;Jonas Hildebrandt;12/8/1996;22;182.88;76.2;CDM,CM,CF;Germany;61;68;300000;1000;Right
M. Dimun;Milan Dimun;9/19/1996;22;185.42;76.2;CDM,CM;Slovakia;61;74;425000;1000;Right
P. Ernesto;Panzu Ernesto;4/3/1999;19;154.94;71.2;CB,RB,CDM;Germany;61;75;500000;2000;Right
F. Quiroz;Franco Nicolás Quiroz;3/11/1998;20;152.4;74.8;LB;Argentina;61;73;400000;2000;Left
S. Lebus;Santiago Lebus;6/18/1996;22;154.94;73;RM;Argentina;61;71;400000;2000;Right
M. Rodas;Manolo Rodas;7/4/1996;22;170.18;64.9;LM,CAM,LB;Germany;61;69;375000;1000;Left
T. Goppel;Thijmen Goppel;2/16/1997;22;152.4;73;RW;Netherlands;61;70;400000;1000;Right
N. Bishop;Nathan Bishop;10/15/1999;19;185.42;72.1;GK;England;61;76;425000;1000;Right
Y. Gutiérrez;Yosgart Ernesto Gutiérrez Serna;3/15/1981;37;187.96;86.2;GK;Mexico;61;61;20000;1000;Right
Dani Sandoval;Daniel Sandoval Fernández;2/16/1998;21;152.4;71.2;LM,RM;Spain;61;74;475000;2000;Left
L. Ameka Autchanga;Louis Ameka Autchanga;10/3/1996;22;175.26;68;RM;Gabon;61;71;400000;1000;Right
Luis Díaz;Luis Díaz Carballido;2/27/1995;24;187.96;78;CM,CDM;Spain;61;67;350000;2000;Right
Z. Dearnley;Zachary Dearnley;9/28/1998;20;175.26;66.2;RW,LW,ST;England;61;76;550000;9000;Right
Kim Yong Jin;김수안 金勇辰;6/10/1993;25;193.04;79.8;ST;Korea Republic;61;66;350000;2000;Right
Iago Indias;Iago Indias Fernández;1/3/1996;23;152.4;68;CB,CDM;Spain;61;67;290000;3000;Right
Eric Curbelo;Éric Curbelo de la Fe;1/14/1994;25;172.72;68.9;CB,RB;Spain;61;67;290000;2000;Left
M. Warcholak;Marcin Warcholak;8/8/1989;29;154.94;78.9;LB;Poland;61;61;200000;1000;Left
Álvaro Vallés;Álvaro Vallés Rosa;7/25/1997;21;193.04;82.1;GK;Spain;61;69;280000;1000;Right
Kiki;Juan Antonio Díaz Sanchez;1/6/1997;22;152.4;69.9;LB,CB;Spain;61;69;325000;1000;Left
T. Bonga;Tarsis Bonga;1/10/1997;22;195.58;88.9;ST,LM,LW,RW;Germany;61;69;375000;1000;Right
M. Pawelec;Mariusz Pawelec;4/14/1986;32;154.94;72.1;RB;Poland;61;61;140000;1000;Right
M. Sarkaria;Manprit Sarkaria;8/26/1996;22;152.4;69.9;CAM,RM;Austria;61;69;375000;2000;Left
A. Samuel;Alex Samuel;9/20/1995;23;152.4;69.9;ST;Wales;61;66;350000;2000;Right
J. Mäder;Janik Mäder;9/27/1996;22;152.4;69.9;RM,ST;Germany;61;69;375000;1000;Right
M. Ortega;Miguel René Ortega Rodríguez;4/13/1995;23;193.04;73.9;GK;Mexico;61;71;300000;5000;Left
D. Turnbull;David Turnbull;7/10/1999;19;185.42;74.8;CAM,CM;Scotland;61;80;525000;1000;Right
K. Koussou;Kodjovi Koussou;6/22/1992;26;170.18;64;RM,RB;Germany;61;62;300000;2000;Right
J. Klinsmann;Jonathan Klinsmann;4/8/1997;21;193.04;83.9;GK;United States;61;75;450000;2000;Right
Álex Mozo;Alejandro Gutiérrez Mozo;4/1/1995;23;165.1;62.1;CM,CAM;Spain;61;70;375000;4000;Right
J. McCourt;Jak McCourt;7/6/1995;23;152.4;68;CM,CDM;England;61;66;325000;3000;Right
T. Björkström;Tim Björkström;1/8/1991;28;154.94;76.2;RB,CB;Sweden;61;61;210000;1000;Right
E. Gutiérrez;Edson Gutiérrez;1/19/1996;23;175.26;67.1;RB;Mexico;61;69;325000;6000;Right
F. Arbeláez;Federico Arbeláez Ocampo;11/10/1996;22;154.94;71.2;LB,LM;Colombia;61;68;300000;1000;Left
B. Gaye;Baboucarr Gaye;2/24/1998;21;193.04;87.1;GK;Gambia;61;73;350000;1000;Right
Y. Mamilonne;Yannick Mamilonne;2/9/1992;27;190.5;84.8;ST;France;61;62;300000;4000;Right
J. Torres;Juan Torres;7/26/1999;19;175.26;71.2;CDM;United States;61;74;400000;1000;Right
N. Andereggen;Nicolás Andereggen;9/22/1999;19;175.26;74.8;ST;Argentina;61;79;525000;2000;Left
S. van Hooijdonk;Sydney van Hooijdonk;2/6/2000;19;185.42;79.8;LM,ST;Netherlands;61;75;525000;1000;Right
M. Harness;Marcus Harness;2/24/1996;23;182.88;69.9;RM,LM,CAM;England;61;69;375000;2000;Right
A. Pinga;Aimery Pinga Maria;1/6/1998;21;185.42;84.8;ST,RW;Switzerland;61;73;450000;4000;Right
Aitor Lorea;Aitor Lorea Vergara;3/14/1998;20;170.18;68;RM,LM;Spain;61;77;550000;1000;Right
M. Gardawski;Michael Gardawski;9/25/1990;28;152.4;74.8;LB,RM;Germany;61;61;210000;1000;Right
Liu Weidong;刘卫东;1/29/1987;32;152.4;68;RW,RM,LM;China PR;61;61;220000;2000;Right
Brian Torres;Brian Torres Aguilar;6/24/1997;21;182.88;77.1;CB,CDM;Spain;61;73;400000;1000;Right
A. Dønnum;Aron Dønnum;4/20/1998;20;152.4;73;RM,LM;Norway;61;71;400000;1000;Left
T. Johnson;Tyreke Johnson;11/3/1998;20;175.26;64.9;RM;England;61;73;425000;4000;Right
P. Will;Paul Will;3/1/1999;20;185.42;77.1;CM;Germany;61;77;525000;5000;Left
O. Petrak;Oliver Petrak;2/6/1991;28;185.42;83;CDM,CM;Croatia;61;62;240000;1000;Right
A. Brorsson;Arvid Brorsson;5/8/1999;19;187.96;81.2;CB;Sweden;61;70;325000;1000;Right
M. Mara;Mohamed Mara;12/12/1996;22;175.26;64;LM,ST;Guinea;61;69;375000;1000;Right
Ryu Jae Moon;류재문 刘在暮;11/8/1993;25;182.88;72.1;CM,CB;Korea Republic;61;65;325000;1000;Right
M. Awoudja;Maxime Awoudja;2/2/1998;21;187.96;86.2;CB;Germany;61;72;375000;6000;Right
Álex Dos Santos;Alejandro Dos Santos Ferreira;1/15/1999;20;185.42;78.9;GK;Brazil;61;75;450000;2000;Right
J. Thorsen;Jonas Thorsen;4/19/1990;28;182.88;78.9;CM,LB,RM;Denmark;61;61;250000;1000;Right
D. Tuma;Davud Tuma;5/16/1996;22;152.4;69.9;LM;Germany;61;68;350000;1000;Left
B. Koglin;Brian Koglin;1/7/1997;22;185.42;78.9;CB,LB;Germany;61;70;350000;2000;Left
Wang Fan;王帆;3/8/1987;32;152.4;73.9;LB,LM;China PR;61;61;160000;3000;Left
C. Villanueva;Carlos Villanueva;7/1/1999;19;170.18;68;CAM;Chile;61;76;550000;1000;Right
S. Amuzie;Stanley Amuzie;2/28/1996;23;185.42;84.8;LB,LM;Nigeria;61;68;300000;1000;Left
M. Funk;Marius Funk;1/1/1996;23;187.96;88;GK;Germany;61;70;290000;1000;Right
Fran Sánchez;Francisco José Sánchez Rodríguez;2/8/1990;29;152.4;69.9;LM,RM;Spain;61;61;250000;4000;Left
J. Hessenthaler;Jake Hessenthaler;4/20/1994;24;175.26;64;CM;England;61;63;300000;2000;Right
Kun Temenuzhkov;Dzhoshkun Temenuzhkov;2/1/2000;19;167.64;76.2;ST;Bulgaria;61;76;525000;4000;Right
S. Mladenovic;Stefan Mladenovic;4/3/1994;24;152.4;64.9;LW,RW;Norway;61;67;350000;1000;Right
S. Ando;安藤 骏介;8/10/1990;28;185.42;78.9;GK;Japan;61;62;200000;1000;Right
T. Galdames;Thomas Galdames;11/20/1998;20;152.4;69.9;CB,LB;Chile;61;72;375000;1000;Left
H. Dunk;Harrison Dunk;10/25/1990;28;182.88;73;LM,LB;England;61;61;260000;3000;Left
S. Ntiya-Ntiya;Siphosakhe Ntiya-Ntiya;10/6/1996;22;165.1;62.1;LB;South Africa;61;69;325000;1000;Left
M. Barnofsky;Max Barnofsky;3/5/1995;24;190.5;84.8;CB;Germany;61;66;290000;1000;Right
H. Charsley;Harry Charsley;11/1/1996;22;152.4;64;LM,CM,RM,RB;Republic of Ireland;61;69;375000;9000;Right
Zheng Dalun;郑达伦;2/11/1994;25;170.18;67.1;RM,RW,RB,RWB;China PR;61;64;325000;3000;Right
A. Al Saleh;Abdullah Al Saleh;10/15/1989;29;182.88;78;GK;Saudi Arabia;61;61;180000;4000;Right
K. Etuhu;Kelvin Etuhu;5/30/1988;30;185.42;71.2;CM,CDM;Nigeria;61;61;230000;2000;Right
A. Amaya;Andrés Felipe  Amaya Rivera;4/24/2001;17;170.18;64.9;RW,LM;Colombia;61;81;500000;1000;Left
A. Komolong;Alwin Komolong;11/2/1994;24;182.88;79.8;CB,RB,CDM;Papua New Guinea;61;63;260000;1000;Right
B. Moore;Brendan Moore;4/16/1992;26;190.5;87.1;GK;United States;61;65;230000;1000;Right
M. Payares;Martín Enrique Payares Campo;3/27/1995;23;182.88;72.1;CB,LB;Colombia;61;70;325000;1000;Right
A. López;Antonio López;4/10/1997;21;172.72;66.2;LW,LB;Mexico;61;71;400000;8000;Left
M. Al Mania;Mujahid Al Mania;1/15/1996;23;185.42;73;ST;Saudi Arabia;61;70;400000;6000;Right
D. Kulusevski;Dejan Kulusevski;4/25/2000;18;185.42;74.8;CM;Sweden;61;77;525000;2000;Left
N. Okafor;Noah Okafor;5/24/2000;18;185.42;84.8;LM,RM;Switzerland;61;81;525000;2000;Left
Sergio Pérez;Sergio Pérez Jaén;6/4/1997;21;154.94;74.8;RM;Spain;61;71;400000;1000;Right
M. Busi;Maxime Busi;10/14/1999;19;154.94;74.8;CB,RB;Belgium;61;74;400000;1000;Right
F. Saavedra;Felipe Ignacio Saavedra Saavedra;9/26/1996;22;172.72;67.1;LB,LWB;Chile;61;69;325000;1000;Left
K. Appin;Kévin Appin;1/20/1998;21;152.4;71.2;CDM;France;61;70;350000;2000;Right
L. Bolton;Luke Bolton;10/7/1999;19;175.26;72.1;RM,CF;England;61;78;525000;1000;Right
N. Laursen;Nikolai Laursen;2/19/1998;21;185.42;69.9;ST,RM,LM;Denmark;61;72;450000;2000;Left
B. Garmston;Bradley Garmston;1/18/1994;25;152.4;68.9;LB,LWB;Republic of Ireland;61;63;250000;1000;Left
B. Kindsvater;Benjamin Kindsvater;2/8/1993;26;175.26;67.1;RM,LM;Germany;61;62;300000;2000;Left
Angel Sánchez;Ángel Sánchez Baró;7/28/1997;21;152.4;69.9;LM;Spain;61;69;375000;3000;Right
E. Orona;Efraín Orona Zavala;2/22/1999;20;154.94;72.1;LB;Mexico;61;74;425000;2000;Left
A. Kartalis;Alexandros Kartalis;1/29/1995;24;152.4;66.2;LB,CAM,LM;Greece;61;65;270000;1000;Left
D. Tchamba;Duplexe Tchamba;7/10/1998;20;190.5;78.9;CB,LB;Cameroon;61;74;425000;1000;Left
N. Atangana;Nigel Atangana;9/9/1989;29;187.96;72.1;CM,CDM;France;61;61;250000;3000;Right
T. Vollnhofer;Thomas Vollnhofer;9/2/1984;34;152.4;74.8;GK;Austria;61;61;130000;2000;Right
T. Rocha;Tony Rocha;8/21/1993;25;175.26;74.8;CM,LB,CDM;United States;61;66;325000;1000;Right
S. Finley;Sam Finley;8/4/1992;26;170.18;68;CAM,CM,CF;England;61;64;325000;1000;Left
M. Kanabah;Majed Kanabah;2/27/1993;26;170.18;69.9;CDM,CM;Saudi Arabia;61;65;270000;3000;Left
T. Robinet;Thomas Robinet;8/18/1996;22;154.94;74.8;RM,ST,LM,RW;France;61;73;450000;1000;Right
C. Dickinson;Carl Dickinson;3/31/1987;31;185.42;89.8;LB;England;61;61;160000;2000;Left
C. Köppel;Christian Köppel;11/3/1994;24;182.88;78.9;LB,LM;Germany;61;65;270000;1000;Left
I. Aaneba;Ismaël Aaneba;5/29/1999;19;152.4;78;RB,CB;France;61;72;375000;1000;Right
I. Ugbo;Iké Ugbo;9/21/1998;20;185.42;73;ST;England;61;76;550000;8000;Right
T. Nakagawa;仲川 輝人;7/27/1992;26;160.02;57.2;RW,RM,CF;Japan;61;62;300000;1000;Right
K. Skaanes;Kasper Skaanes;3/19/1995;23;175.26;60.8;CM,RM,LW;Norway;61;70;375000;1000;Right
L. Maniero;Luca Maniero;6/12/1995;23;187.96;88.9;GK;Italy;61;67;250000;1000;Right
G. Mensah;Gideon Mensah;7/18/1998;20;152.4;64;LB;Ghana;61;72;375000;1000;Left
P. Da Silva;Pierre Da Silva;7/28/1998;20;175.26;66.2;CAM,LW,CF;United States;61;78;550000;1000;Left
L. Fritzson;Ludvig Fritzson;8/25/1995;23;182.88;77.1;CM,RW;Sweden;61;67;350000;1000;Right
W. Burger;Wouter Burger;2/16/2001;18;190.5;73;CM;Netherlands;61;79;500000;1000;Left
Campos;Gaizka Campos Bahíllo;5/16/1995;23;187.96;79.8;GK;Spain;61;65;230000;1000;Right
R. Charles-Cook;Reice Charles-Cook;4/8/1994;24;185.42;79.8;GK;England;61;64;230000;1000;Right
W. Cuesta;William David Cuesta Mosquera;2/19/1993;26;195.58;87.1;GK;Colombia;61;65;230000;1000;Right
R. Margaret;Richonell Margaret;7/7/2000;18;187.96;73.9;ST,CAM;Netherlands;61;76;500000;1000;Right
Guillamón;Hugo Guillamón Sammartín;1/31/2000;19;152.4;73;CB;Spain;61;79;475000;2000;Right
L. Abdulahi;Liban Abdulahi;11/2/1995;23;152.4;59.9;CM;Netherlands;61;69;375000;1000;Right
L. Cueto;Lucas Cueto;3/24/1996;22;175.26;64;LM,LW,ST;Germany;61;69;375000;1000;Left
B. Källman;Benjamin Källman;8/17/1998;20;182.88;74.8;ST;Finland;61;70;375000;1000;Right
N. Jackson;Niki Jackson;8/25/1995;23;185.42;78;ST;United States;61;70;400000;1000;Right
Cordero;Arturo Cordero López;10/2/1994;24;187.96;79.8;GK;Spain;61;66;240000;1000;Right
A. Riccardi;Alessio Riccardi;4/3/2001;17;152.4;64.9;CM,CAM;Italy;61;86;550000;4000;Right
M. Toye;Mason Toye;10/16/1998;20;190.5;82.1;ST;United States;61;76;550000;1000;Right
Chen Binbin;陈彬彬;6/10/1998;20;152.4;72.1;LW,LM;China PR;61;74;475000;2000;Right
C. Thomas;Conor Thomas;10/29/1993;25;185.42;72.1;CM,CB;England;61;66;325000;2000;Right
A. Mansilla;Agustín Mansilla;2/9/1998;21;170.18;64;CAM;Argentina;61;71;400000;2000;Right
E. Edwards Jr.;Earl Edwards Jr.;1/24/1992;27;190.5;93;GK;United States;61;65;230000;1000;Right
D. Thomas;Dominic Thomas;2/14/1996;23;172.72;64.9;RM,LM;Scotland;61;69;375000;1000;Left
A. Arboleda;Andrés Felipe Arboleda Hurtado;4/13/1987;31;182.88;83.9;CDM,CB;Colombia;61;61;170000;1000;Right
J. Beste;Jan Niklas Beste;1/4/1999;20;175.26;64;LB;Germany;61;77;475000;2000;Left
C. Dilo;Christopher Dilo;1/5/1994;25;187.96;87.1;GK;France;61;67;250000;1000;Right
N. Fernández;Nicolás Fernández;8/3/1999;19;170.18;66.2;RB;Chile;61;77;450000;1000;Right
A. Dobre;Mihai Alexandru Dobre;8/30/1998;20;152.4;71.2;LM,RM;Romania;61;73;425000;4000;Right
G. Maris;George Maris;3/6/1996;23;154.94;74.8;CM,LM;England;61;72;425000;3000;Right
R. Yamasaki;山崎 凌吾;9/20/1992;26;187.96;79.8;ST;Japan;61;63;325000;1000;Left
G. Hatano;波多野 豪;5/25/1998;20;198.12;88;GK;Japan;61;74;400000;1000;Right
M. Harzan;Mohammed Mohsen Harzan;1/12/1989;30;167.64;64.9;LM,CAM;Saudi Arabia;61;61;250000;4000;Right
Jeong Dong Yun;정동윤 郑东尹;4/3/1994;24;175.26;69.9;RB;Korea Republic;61;66;280000;1000;Left
J. Ibehre;Jabo Ibehre;1/28/1983;36;193.04;92.1;ST;England;61;61;120000;2000;Right
Song Soo Yeong;송수영 Soo Yeong Song;7/8/1991;27;175.26;69.9;LW,LM;Korea Republic;61;61;270000;1000;Right
M. Sykes;Mark Sykes;8/4/1997;21;182.88;78;CM;Northern Ireland;61;70;375000;2000;Right
R. González;Rodrigo González;11/30/1995;23;175.26;74.8;RB,RM;Chile;61;68;300000;1000;Right
